1,N1,原点,0,0
2,N1-1,1档前进,0,5
3,1-N1-2,2档前进,5,15
4,2-N1-N2-3,3档前进,15,30
5,3-N2-N1-2,3档倒退到2档,30,15
6,2-N1-1,2档倒退到3档,15,5
7,1-N1,1档后退原点,5,0
8,2-N1,2档后退空挡,15,10
9,3-N1,3档后退空挡,30,25
